;Failure;Success;accuracy;macro avg;weighted avg
precision;0.7116279069767442;0.7315914489311164;0.727530747398297;0.7216096779539303;0.7244332820430301
recall;0.40369393139841686;0.9085545722713865;0.727530747398297;0.6561242518349016;0.727530747398297
f1-score;0.5151515151515151;0.8105263157894737;0.727530747398297;0.6628389154704943;0.7046161460243022
support;379.0;678.0;0.727530747398297;1057.0;1057.0
