QUOTE_CONVERSION;SERVICE_NOTIFICATION;ORDER;CUSTOMER;QUANTITY;DESCRIPTION;QUOTE_COUNT;CUSTOMER_SALES_SHARE;COUNTRY_SALES_SHARE;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;SEGMENT;CONCERN;KEY_ACCOUNT;COUNTRY;COUNTRY_CLUSTERED
Failure;312;;69;2;SP;1;0,004435115;0,149340658;0,918995584;1;Oilseed;1;1;FR;FR
Success;313;152;25;0;SP;1;0,002652777;0,031120862;1,920868165;0,932553338;Oilseed;0;0;US;US
Failure;314;;25;1;SP;1;0,002652777;0,031120862;0,967628631;0,583690987;Oilseed;0;0;US;US
Success;315;;3;1;SP;1;0,012672497;0,24288004;2,171922748;1;Oilseed;1;1;DE;DE
Success;316;153;3;2;SP;1;0,012672497;0,24288004;1,411577851;0,745533297;Oilseed;1;1;DE;DE
Failure;317;;3;1;SP;1;0,012672497;0,24288004;0,98833503;1;Oilseed;1;1;DE;DE
Failure;318;;3;1;SP;1;0,012672497;0,24288004;0,984518978;0,787356322;Oilseed;1;1;DE;DE
Success;319;154;3;1;SP;1;0,012672497;0,24288004;1;1;Oilseed;1;1;DE;DE
Success;320;155;3;0;SP;1;0,012672497;0,24288004;1,059091786;1;Oilseed;1;1;DE;DE
Success;321;156;3;0;SP;1;0,012672497;0,24288004;1,059091786;1;Oilseed;1;1;DE;DE
Success;322;157;3;0;SP;1;0,012672497;0,24288004;0,967911579;1;Oilseed;1;1;DE;DE
Success;323;158;25;4;SV;1;0,002652777;0,031120862;0,997937703;1;Oilseed;0;0;US;US
Failure;324;;25;1000;SV;1;0,002652777;0,031120862;1,209328443;1;Oilseed;0;0;US;US
Failure;325;;70;1;SP;1;1,51E-05;0,149340658;0,748265876;0,737091988;Rendering;1;1;FR;FR
Failure;326;;70;35;SP;2;0,011354609;0,149340658;0,925386903;1;Rendering;1;1;FR;FR
Success;327;159;71;1;SP;1;0,023541794;0,149340658;1,141306816;1;Rendering;1;1;FR;FR
Failure;328;;25;1;SP;1;0,002652777;0,031120862;0,966541785;0,461704122;Oilseed;0;0;US;US
Success;329;160;25;0;SP;1;0,002652777;0,031120862;0,964166065;0,775504247;Oilseed;0;0;US;US
Success;330;161;25;0;SP;1;0,002652777;0,031120862;0,936199327;0,802984379;Oilseed;0;0;US;US
Success;331;162;61;1;SP;1;0,01832899;0,021779501;0,599807986;1;Oilseed;1;1;AU;Other
Success;332;163;61;1;SP;1;0,01832899;0,021779501;0,944243359;0,348506753;Oilseed;1;1;AU;Other
Success;333;164;61;0;SP;1;0,01832899;0,021779501;0,789399643;0,538817036;Oilseed;1;1;AU;Other
Failure;334;;61;100;SP;2;0,01832899;0,021779501;0,894001372;0,284957787;Oilseed;1;1;AU;Other
Failure;335;;61;1;SP;2;0,01832899;0,021779501;1,080575371;0,31525756;Oilseed;1;1;AU;Other
Success;336;;61;1;SP;1;0,01832899;0,021779501;0,959148643;1;Oilseed;1;1;AU;Other
Success;337;165;61;0;SP;1;0,01832899;0,021779501;0,919888318;0,746984474;Oilseed;1;1;AU;Other
Failure;338;;72;1;SP;2;0,011354609;0,149340658;0,997473011;0,969529312;Rendering;1;1;FR;FR
Failure;339;;72;1;SP;1;0,011354609;0,149340658;1,240966727;1;Rendering;1;1;FR;FR
Success;340;;72;1;SP;1;0,011354609;0,149340658;1,004767234;1;Rendering;1;1;FR;FR
Success;341;166;25;4;SP;1;0,002652777;0,031120862;0,839123804;1;Oilseed;0;0;US;US
Failure;342;;72;1;SP;1;0,011354609;0,149340658;0,893249277;0,796052552;Rendering;1;1;FR;FR
