Meldung;Kundenauftrag;Kunde;Bezugsmenge;Bezeichnung;Anzahl Angebote;Angebotserfolg;Umsatzanteil_Kunde;PRICE_DEV_QU;PRIMARY_PRODUCT_SALES;KNA1.Land;KNA1.Ist-Konzern;KNA1.KEY_ACCOUNT;KNA1.Umsatzanteil_Land;EQUI.Kundenbranche;Land_Neu
1480;687;136;1;Other;3;Success;0,001072395;1,441319113;1;FR;1;0;0,149340658;Oilseed;FR
1481;688;61;1710;SP;2;Success;0,01832899;1,138856074;0,309176604;AU;1;1;0,021779501;Oilseed;Other
1482;689;109;0;SP;1;Success;0,00010732;0,964916157;0,515584416;AT;1;1;0,017650065;Rendering;Other
1483;;2;4;SP;1;Failure;0,005747758;1,053391621;0,270586774;SE;1;0;0,005747758;Oilseed;Other
1484;690;96;0;SV;1;Success;0,004160797;0,832223823;1;DE;0;0;0,24288004;Rendering;DE
1485;;34;1;SP;1;Failure;0,032574028;1,197795036;1;RU;0;0;0,037934649;Oilseed;RU
1486;;34;1;SP;1;Failure;0,032574028;1,106088386;1;RU;0;0;0,037934649;Oilseed;RU
1487;691;135;0;SP;1;Success;0,015985666;0,948695337;1;FR;1;0;0,149340658;Oilseed;FR
1488;;13;1;SP;1;Success;0,005186831;1,019878607;1;BA;0;0;0,005186831;Oilseed;Other
1489;;15;1;Other;1;Success;0,008587915;0,998805265;1;DE;0;0;0,24288004;Oilseed;DE
1490;;145;1;SP;1;Failure;0,023432025;0,929003666;0,767364954;US;1;0;0,031120862;Rendering;US
1491;;67;42;SP;1;Failure;0,003045604;1,16396888;0,370619946;AT;0;0;0,017650065;Rendering;Other
1492;;123;42;SP;1;Failure;0,002596645;0,898296796;0,448135905;MX;0;0;0,010104625;Rendering;Other
1493;;13;2;SP;1;Success;0,005186831;1,038416149;0,762910798;BA;0;0;0,005186831;Oilseed;Other
1494;;160;60;SP;1;Failure;0,005357712;1,065787177;0,25683625;PT;1;0;0,00753768;Oilseed;Other
1495;;72;1;SP;1;Failure;0,011354609;2,289153886;1;FR;1;1;0,149340658;Rendering;FR
1496;;61;1;SP;1;Failure;0,01832899;0,926875078;0,421693777;AU;1;1;0,021779501;Oilseed;Other
1497;;126;1;SP;1;Success;0,029408083;0,965221974;0,793047956;HU;1;0;0,049273194;Oilseed;Other
1498;;36;54;SP;1;Failure;0,006161744;0,913550887;1;CY;0;0;0,006161744;Oilseed;Other
1499;;36;54;SP;1;Failure;0,006161744;1,154930264;0,272737868;CY;0;0;0,006161744;Oilseed;Other
1500;692;145;1;SP;1;Success;0,023432025;1,375703655;0,866327961;US;1;0;0,031120862;Rendering;US
1501;;157;2;SP;1;Success;0,004768004;1,050942128;0,41334569;HR;0;0;0,014651249;Oilseed;Other
1502;693;3;0;SP;1;Success;0,012672497;1,049806675;1;DE;1;1;0,24288004;Oilseed;DE
1503;;62;1;SP;1;Failure;0,008667771;0,883991958;0,500976795;DE;0;0;0,24288004;Oilseed;DE
1504;694;61;6;SP;2;Success;0,01832899;0,747302427;0,803120282;AU;1;1;0,021779501;Oilseed;Other
1505;695;34;0;SP;1;Success;0,032574028;1,143838125;0,921043564;RU;0;0;0,037934649;Oilseed;RU
1506;696;12;6;Other;1;Success;0,021882417;1,093817136;1;DE;1;1;0,24288004;Oilseed;DE
1507;697;2;1;SP;1;Success;0,005747758;1,304980837;1;SE;1;0;0,005747758;Oilseed;Other
1508;;97;52;Other;2;Success;0,008354832;1,048776445;0,401784334;ES;1;0;0,01187804;Oilseed;Other
1509;;136;1;Other;1;Success;0,001072395;1,052651227;0,342429715;FR;1;0;0,149340658;Oilseed;FR
1510;;54;50;Other;1;Success;0,015902771;1,053989131;0,37625072;DE;1;1;0,24288004;Rendering;DE
1511;;143;36;SP;1;Failure;0,000881389;0,898813167;0,495494012;CL;0;0;0,000881389;Oilseed;Other
1512;;11;12;Other;1;Failure;7,15E-05;1,009073723;0,790825688;FR;0;0;0,149340658;Rendering;FR
1513;;217;500;SP;1;Failure;0;0,930489675;0,571522957;UA;1;0;0,013483314;Oilseed;Other
1514;;123;1;SP;1;Success;0,002596645;0,950952153;1;MX;0;0;0,010104625;Rendering;Other
